model,k,n_eval_users,recall,ndcg,coverage,avg_train_popularity,cold_recall,cold_ndcg,n_cold_eval_users,warm_recall,warm_ndcg,n_warm_eval_users
Popularity,5,5000,0.0118730833183209,0.007904678706450965,0.00023588614562038057,212258.81252,0.0,0.0,2311,0.017175007161700947,0.011137208167775388,3750
Popularity,10,5000,0.021261892646247876,0.011281088448187456,0.0003931435760339676,195382.70314,0.0,0.0,2311,0.031171417896935213,0.016088500529373415,3750
Popularity,20,5000,0.03652295851744183,0.01590051330220202,0.000668344079257745,170433.96496,0.0,0.0,2311,0.0534189966493375,0.022695934900774532,3750
Text-only,5,5000,0.004610574229691876,0.003941764793833177,0.08460449756250983,4245.0582,0.002118491273618924,0.0015279793862433973,2311,0.0059321860710096,0.004876758199103741,3750
Text-only,10,5000,0.007153236371471665,0.004810658346794998,0.1310150967133197,3421.39158,0.004859007644598299,0.002416657002651821,2311,0.007889459647106706,0.0056097344214788535,3750
Text-only,20,5000,0.009956569704805,0.005604372839224125,0.1928369240446611,2824.807,0.008104355978652819,0.0032637784181763006,2311,0.010405015202662262,0.006306965358947881,3750
