delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,condition,n_total,n_train,n_test,n_cell_types,heterogeneity_entropy,seed,elapsed_sec
0.08018763867207208,0.7694566230812917,-3.343552165027347,-3.386812988937508,0.706696410894235,0.1821857862959065,full_all_lineages,90261,72208,18053,45,3.068815429044354,0,56.9
0.08917960899122802,0.753198874432786,-3.3324344872992415,-3.3732366437934465,0.7144125070130575,0.18069018999612252,full_all_lineages,90261,72208,18053,45,3.068815429044354,1,55.5
0.09247572552931836,0.7992299146259884,-3.312351216521266,-3.3709628883456384,0.7125299442290075,0.180634797540575,full_all_lineages,90261,72208,18053,45,3.068815429044354,2,47.5
0.07679763860062429,0.7716239316239316,-3.5635320825685577,-3.5585879879685023,1.0173023761191808,0.20752136752136752,single_lineage_T_CD4,14621,11696,2925,5,1.0738266118045654,0,7.3
0.06679840482853155,0.7304273504273505,-3.6086486668755353,-3.606974279357976,0.911800284516221,0.21743589743589745,matchedN_for_T_CD4,14621,11696,2925,45,3.069717000112807,0,7.4
0.08096902238353869,0.7548717948717949,-3.528370628526169,-3.5236299775990196,0.9882676831132627,0.20717948717948717,single_lineage_T_CD4,14621,11696,2925,5,1.0738266118045654,1,7.8
0.06456249238122534,0.7266666666666668,-3.6085826932741187,-3.6060053912689467,0.909028458573925,0.23384615384615384,matchedN_for_T_CD4,14621,11696,2925,45,3.060507221275988,1,7.6
0.08780066703949582,0.7740170940170941,-3.5529099614974973,-3.533470368273391,1.0031391831141208,0.20136752136752137,single_lineage_T_CD4,14621,11696,2925,5,1.0738266118045654,2,7.0
0.05027817441980461,0.7188034188034189,-3.610257890943457,-3.609008443783219,0.9336000114614181,0.21914529914529915,matchedN_for_T_CD4,14621,11696,2925,44,3.076538499434149,2,7.5
0.11133437932500306,0.7498859240427092,-3.4163614452639783,-3.432056906910527,0.9503777422507851,0.1828410689170183,single_lineage_T_CD8,10663,8530,2133,9,1.982209419047319,0,6.1
0.06634437447598412,0.7086261191386785,-3.5459326399321536,-3.533583417405791,0.8540561500446258,0.2630098452883263,matchedN_for_T_CD8,10663,8530,2133,45,3.0580946119328636,0,5.9
0.10032547027889777,0.7906674610343436,-3.4276689908633258,-3.435257385855439,0.9494670921395235,0.189873417721519,single_lineage_T_CD8,10663,8530,2133,9,1.982209419047319,1,6.3
0.06799903510829282,0.7826991661884902,-3.5267412510760674,-3.5255215049591255,0.8393705072674842,0.2723863103609939,matchedN_for_T_CD8,10663,8530,2133,45,3.0662900096086836,1,6.1
0.14060420003383975,0.8302851761656751,-3.362796643519569,-3.4074028134818533,0.9550756140766427,0.1683075480543835,single_lineage_T_CD8,10663,8530,2133,9,1.982209419047319,2,5.8
0.07700187463728723,0.8016917835110136,-3.540251764659913,-3.5388279782059993,0.8612874173235966,0.2583216127519925,matchedN_for_T_CD8,10663,8530,2133,43,3.0713863030292194,2,6.5
0.07750180923052911,0.7354107908918298,-3.3567266162480784,-3.3842059273038605,0.9005838964997528,0.12042745581586518,single_lineage_Myeloid_Mono,24328,19462,4866,2,0.34297030561431674,0,14.8
0.06679699401690586,0.7443481446407919,-3.5545093002311785,-3.5787773818993283,0.8135102252021474,0.21722153719687629,matchedN_for_Myeloid_Mono,24328,19462,4866,45,3.071692520134803,0,14.3
0.09713998615779551,0.7521567689717916,-3.2845579861441125,-3.3507668740061236,0.8746342438825615,0.12412659268392931,single_lineage_Myeloid_Mono,24328,19462,4866,2,0.34297030561431674,1,15.1
0.060306587849835065,0.7202025304695712,-3.5582997563727954,-3.573511888991272,0.8042536291071535,0.2157829839704069,matchedN_for_Myeloid_Mono,24328,19462,4866,45,3.0669392511313944,1,15.2
0.08120567636032963,0.7636650793826748,-3.3691852252283647,-3.3825781242179915,0.9041257991610613,0.1272092067406494,single_lineage_Myeloid_Mono,24328,19462,4866,2,0.34297030561431674,2,16.2
0.06161872606278645,0.7257494730607766,-3.5682799042614812,-3.571872335979591,0.8188432571105919,0.2192766132346897,matchedN_for_Myeloid_Mono,24328,19462,4866,45,3.069134791065103,2,15.6
0.07039682075534223,0.7062966593186916,-3.6040933862299265,-3.6026022137637645,1.1364947745633154,0.15868596881959912,single_lineage_B_cell,8977,7181,1796,5,1.4009816777728343,0,4.6
0.06347515049589274,0.6837355348848021,-3.6157763220155235,-3.6088554569660114,0.9828411259514791,0.23552338530066816,matchedN_for_B_cell,8977,7181,1796,45,3.062395465754227,0,4.5
