delta_gap,alignment,uniformity_a,uniformity_b,linear_separability,top5_retrieval_acc,source
0.080187638672072,0.706696410894235,-3.343552165027347,-3.386812988937508,0.7694566230812917,0.1821857862959065,phase1_baseline_matchclot_arch
0.0849958551791538,0.7146907259103862,-3.3389997668810345,-3.389593048070285,0.7777100590982998,0.1866725751952584,phase1_baseline_matchclot_arch
0.0862498756662805,0.7088484715378762,-3.343934227291001,-3.387068954795356,0.8013072889539423,0.1841245222400709,phase1_baseline_matchclot_arch
0.0880474042248706,0.6118543424002575,-3.406399972247284,-3.3184463748394286,0.8397111913357401,0.248014440433213,phase1_baseline_matchclot_arch
0.0890059802810961,0.607048592750955,-3.397933225250505,-3.311192704933608,0.854332129963899,0.2504693140794223,phase1_baseline_matchclot_arch
0.0919125311789286,0.6207991019580955,-3.417771844164941,-3.3274943486198576,0.8407220216606497,0.2475812274368231,phase1_baseline_matchclot_arch
0.5884279964217982,1.1821541976525485,-1.642458527273014,-1.8932338410240923,0.9738824049720208,0.0240957181631861,phase2_expA_dial_swipe
0.5849250818845528,1.195240553958748,-1.6707356676860323,-1.8848808416711595,0.9674015689569074,0.024981997451947,phase2_expA_dial_swipe
0.5891753446668123,1.1900846789822337,-1.6541416445091917,-1.883853971006732,0.9540797286108692,0.0243726804409239,phase2_expA_dial_swipe
0.3302663008011266,0.980738200715759,-2.54787684135918,-2.578221754313481,0.905888276796296,0.0568326593917908,phase2_expA_dial_swipe
0.3320037127448862,0.9732057935651096,-2.538040082455144,-2.560823902439924,0.913587795926302,0.0571096216695286,phase2_expA_dial_swipe
0.331757571743026,0.9679029285763742,-2.541801142203316,-2.559857584447585,0.9241400364969844,0.0588821802470503,phase2_expA_dial_swipe
0.1338421233500665,0.7378344770559763,-3.108329103090848,-3.143243408336886,0.8223008862386395,0.1409184069129784,phase2_expA_dial_swipe
0.1387248307095832,0.734615763970153,-3.108739377817056,-3.124911347718777,0.8504125920310507,0.1459037279122583,phase2_expA_dial_swipe
0.1364664386517864,0.7313164524055469,-3.105943193121552,-3.142560296159473,0.842020578997586,0.1409184069129784,phase2_expA_dial_swipe
0.080187638672072,0.706696410894235,-3.343552165027347,-3.386812988937508,0.7694566230812917,0.1821857862959065,phase2_expA_dial_swipe
0.0849958551791538,0.7146907259103862,-3.3389997668810345,-3.389593048070285,0.7777100590982998,0.1866725751952584,phase2_expA_dial_swipe
0.0862498756662805,0.7088484715378762,-3.343934227291001,-3.387068954795356,0.8013072889539423,0.1841245222400709,phase2_expA_dial_swipe
0.0736039461902684,0.97437414486903,-3.6740672195538857,-3.692663915972173,0.7243117908469601,0.1201462360826455,phase2_expA_dial_swipe
0.0832183146666559,1.003090868637618,-3.679417892437552,-3.709891164196412,0.712402462723822,0.1189276020605993,phase2_expA_dial_swipe
0.0705659336710338,1.002699391604763,-3.693349942113554,-3.710288172518693,0.7097989682159918,0.1177643604941007,phase2_expA_dial_swipe
0.3302663008011266,0.980738200715759,-2.54787684135918,-2.578221754313481,0.905888276796296,0.0568326593917908,phase2_expA_dial_swipe
0.3320037127448862,0.9732057935651096,-2.538040082455144,-2.560823902439924,0.913587795926302,0.0571096216695286,phase2_expA_dial_swipe
0.331757571743026,0.9679029285763742,-2.541801142203316,-2.559857584447585,0.9241400364969844,0.0588821802470503,phase2_expA_dial_swipe
0.3645939145809406,1.130251781665523,-2.4194430640660487,-2.451672678326496,0.9556306030853808,0.0323491940397717,phase2_expA_dial_swipe
0.3612560147455159,1.142308794604703,-2.43605279260437,-2.47283484153644,0.9549936604102216,0.0317398770287486,phase2_expA_dial_swipe
0.3643198075831505,1.130442595659402,-2.4248220674619376,-2.455880189130241,0.9572924036025116,0.0326815487730571,phase2_expA_dial_swipe
0.7559278363151253,1.3990196907751566,-1.5361822790571371,-1.703058050732874,0.998449014307979,0.0088074004320611,phase2_expA_dial_swipe
0.7399800471375267,1.4189611728336684,-1.5910457509441585,-1.753567258861469,0.997839695761052,0.008696615520966,phase2_expA_dial_swipe
0.7588411930370059,1.4033794380272944,-1.5381897699680491,-1.7066452777247747,0.999030639695117,0.0079211211433002,phase2_expA_dial_swipe
0.9830700880889166,2.006692587116961,-0.1632715375789693,-1.127595076585587,0.9991414161693614,0.0002769622777377,phase2_expA_dial_swipe
0.9819513330276476,2.0065813222665945,-0.1784180969865308,-1.022154764750337,0.9991137115043124,0.0004431396443804,phase2_expA_dial_swipe
0.984195154775218,2.0051757528933947,-0.1586381869019145,-1.034476384274023,0.9991968024889404,0.0002769622777377,phase2_expA_dial_swipe
0.080187638672072,0.706696410894235,-3.343552165027347,-3.386812988937508,0.7694566230812917,0.1821857862959065,phase2_expC_lineage
0.0767976386006242,1.0173023761191808,-3.5635320825685577,-3.5585879879685023,0.7716239316239316,0.2075213675213675,phase2_expC_lineage
