metric,pearson_r,pearson_p,spearman_r,spearman_p
delta_gap,-0.8389480792711966,1.153919115898372e-12,-0.8216502136087553,8.220538557774332e-12
alignment,-0.7223192927372196,3.113223120350549e-08,-0.7629760244642627,1.738611717143086e-09
uniformity_a,-0.8248571740942758,5.805948303387935e-12,-0.792313119036509,1.4806054555993877e-10
uniformity_b,-0.8559824884786998,1.3137293785097296e-13,-0.7625528932925476,1.7968155690181502e-09
linear_separability,-0.8316216613191555,2.723116793906536e-12,-0.7763751782352406,5.909074279188354e-10
