delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,axis,condition,n_genes_requested,n_genes_actual,seed,elapsed_sec,source,information_asymmetry_index,heterogeneity_entropy,n_total,n_train,n_test,n_cell_types
0.5884279964217982,0.9738824049720208,-1.642458527273014,-1.8932338410240923,1.1821541976525485,0.0240957181631861,quantity,n_genes=50,50,50.0,0,24.4,expA,-0.9858167945227653,,,,,
0.5849250818845528,0.9674015689569074,-1.6707356676860323,-1.8848808416711595,1.195240553958748,0.024981997451947,quantity,n_genes=50,50,50.0,1,23.3,expA,-0.9858167945227653,,,,,
0.5891753446668123,0.9540797286108692,-1.6541416445091917,-1.883853971006732,1.1900846789822337,0.0243726804409239,quantity,n_genes=50,50,50.0,2,24.2,expA,-0.9858167945227653,,,,,
0.3302663008011266,0.905888276796296,-2.54787684135918,-2.578221754313481,0.980738200715759,0.0568326593917908,quantity,n_genes=134,134,134.0,0,26.3,expA,0.0,,,,,
0.3320037127448862,0.913587795926302,-2.538040082455144,-2.560823902439924,0.9732057935651096,0.0571096216695286,quantity,n_genes=134,134,134.0,1,24.5,expA,0.0,,,,,
0.331757571743026,0.9241400364969844,-2.541801142203316,-2.559857584447585,0.9679029285763742,0.0588821802470503,quantity,n_genes=134,134,134.0,2,26.5,expA,0.0,,,,,
0.1338421233500665,0.8223008862386395,-3.108329103090848,-3.143243408336886,0.7378344770559763,0.1409184069129784,quantity,n_genes=500,500,500.0,0,30.0,expA,1.3167682984712803,,,,,
0.1387248307095832,0.8504125920310507,-3.108739377817056,-3.124911347718777,0.734615763970153,0.1459037279122583,quantity,n_genes=500,500,500.0,1,27.7,expA,1.3167682984712803,,,,,
0.1364664386517864,0.842020578997586,-3.105943193121552,-3.142560296159473,0.7313164524055469,0.1409184069129784,quantity,n_genes=500,500,500.0,2,28.7,expA,1.3167682984712803,,,,,
0.080187638672072,0.7694566230812917,-3.343552165027347,-3.386812988937508,0.706696410894235,0.1821857862959065,quantity,n_genes=2000,2000,2000.0,0,36.9,expA,2.703062659591171,,,,,
0.0849958551791538,0.7777100590982998,-3.3389997668810345,-3.389593048070285,0.7146907259103862,0.1866725751952584,quantity,n_genes=2000,2000,2000.0,1,38.0,expA,2.703062659591171,,,,,
0.0862498756662805,0.8013072889539423,-3.343934227291001,-3.387068954795356,0.7088484715378762,0.1841245222400709,quantity,n_genes=2000,2000,2000.0,2,37.7,expA,2.703062659591171,,,,,
0.0736039461902684,0.7243117908469601,-3.6740672195538857,-3.692663915972173,0.97437414486903,0.1201462360826455,quantity,n_genes=13953,all,13953.0,0,197.9,expA,4.645610017941295,,,,,
0.0832183146666559,0.712402462723822,-3.679417892437552,-3.709891164196412,1.003090868637618,0.1189276020605993,quantity,n_genes=13953,all,13953.0,1,197.8,expA,4.645610017941295,,,,,
0.0705659336710338,0.7097989682159918,-3.693349942113554,-3.710288172518693,1.002699391604763,0.1177643604941007,quantity,n_genes=13953,all,13953.0,2,200.0,expA,4.645610017941295,,,,,
0.3302663008011266,0.905888276796296,-2.54787684135918,-2.578221754313481,0.980738200715759,0.0568326593917908,quality,random_134hvg,,134.0,0,25.4,expA,,,,,,
0.3320037127448862,0.913587795926302,-2.538040082455144,-2.560823902439924,0.9732057935651096,0.0571096216695286,quality,random_134hvg,,134.0,1,23.6,expA,,,,,,
0.331757571743026,0.9241400364969844,-2.541801142203316,-2.559857584447585,0.9679029285763742,0.0588821802470503,quality,random_134hvg,,134.0,2,23.8,expA,,,,,,
0.3645939145809406,0.9556306030853808,-2.4194430640660487,-2.451672678326496,1.130251781665523,0.0323491940397717,quality,adt_matched,,36.0,0,21.9,expA,,,,,,
0.3612560147455159,0.9549936604102216,-2.43605279260437,-2.47283484153644,1.142308794604703,0.0317398770287486,quality,adt_matched,,36.0,1,22.5,expA,,,,,,
0.3643198075831505,0.9572924036025116,-2.4248220674619376,-2.455880189130241,1.130442595659402,0.0326815487730571,quality,adt_matched,,36.0,2,23.9,expA,,,,,,
0.7559278363151253,0.998449014307979,-1.5361822790571371,-1.703058050732874,1.3990196907751566,0.0088074004320611,quality,stat_matched_random,,36.0,0,20.2,expA,,,,,,
0.7399800471375267,0.997839695761052,-1.5910457509441585,-1.753567258861469,1.4189611728336684,0.008696615520966,quality,stat_matched_random,,36.0,1,20.5,expA,,,,,,
0.7588411930370059,0.999030639695117,-1.5381897699680491,-1.7066452777247747,1.4033794380272944,0.0079211211433002,quality,stat_matched_random,,36.0,2,20.6,expA,,,,,,
0.9830700880889166,0.9991414161693614,-0.1632715375789693,-1.127595076585587,2.006692587116961,0.0002769622777377,quality,adt_matched_pair_shuffled,,36.0,0,20.4,expA,,,,,,
0.9819513330276476,0.9991137115043124,-0.1784180969865308,-1.022154764750337,2.0065813222665945,0.0004431396443804,quality,adt_matched_pair_shuffled,,36.0,1,20.5,expA,,,,,,
0.984195154775218,0.9991968024889404,-0.1586381869019145,-1.034476384274023,2.0051757528933947,0.0002769622777377,quality,adt_matched_pair_shuffled,,36.0,2,20.0,expA,,,,,,
