epoch,train_bpr_loss,val_bpr_loss
1,0.5750479237468579,0.5662592156402243
2,0.566025790079455,0.5659768462680593
3,0.565798580143066,0.565734139494954
4,0.565488886854239,0.565535939926763
5,0.5652386274585454,0.5654522095731097
6,0.565384688123608,0.5653589222843673
7,0.5653226103660575,0.5654438794741836
8,0.5652209386911802,0.5653703096191272
9,0.5654410384096745,0.5654109417918324
10,0.565219925304134,0.5652704571450711
11,0.565219853218509,0.565288486802535
12,0.5652470470672262,0.5652790379438603
13,0.5652032200041635,0.565257903694868
14,0.5652166926861663,0.565317472032087
15,0.565137734291921,0.5651590730437112
