model,evaluation,queries,recall@5,ndcg@5,recall@10,ndcg@10,recall@20,ndcg@20,mrr,warm_queries,warm_recall@5,warm_ndcg@5,warm_recall@10,warm_ndcg@10,warm_recall@20,warm_ndcg@20,warm_mrr,cold_queries,cold_recall@5,cold_ndcg@5,cold_recall@10,cold_ndcg@10,cold_recall@20,cold_ndcg@20,cold_mrr,catalog_coverage@10,unique_recommended@10,mean_train_positive_popularity@10
simple_mean,sampled_1_positive_99_negative,9992,0.6117894315452362,0.4363108814734115,0.7680144115292233,0.4870316044528238,0.8765012009607687,0.5147562185218133,0.41041565933315827,9660,0.627639751552795,0.44802133244243886,0.7858178053830228,0.4994101747924186,0.893271221532091,0.5268908534602358,0.42061187733013344,332,0.15060240963855423,0.09557908520592827,0.25,0.12685994939111522,0.3885542168674699,0.16168220194000307,0.11374256942116923,0.16101195156471143,8191,
hours_weighted_mean,sampled_1_positive_99_negative,9992,0.6313050440352281,0.4549550627871684,0.7809247397918335,0.5035874895960183,0.8802041633306645,0.5289027498058059,0.4270207981341611,9660,0.6480331262939959,0.46747960073359046,0.8,0.516885567137692,0.898343685300207,0.5419676161865434,0.43799633679793304,332,0.14457831325301204,0.09053627796055111,0.22590361445783133,0.11666149847382327,0.35240963855421686,0.1487623605349495,0.10767229364007307,0.1542498820569272,7847,
history_mlp_bpr,sampled_1_positive_99_negative,9992,0.6834467574059248,0.4922979554703017,0.8174539631705364,0.5358961531381035,0.8927141713370697,0.5550259721823474,0.4551549046007776,9660,0.7042443064182194,0.5078156447888568,0.8400621118012422,0.5520160172465792,0.9140786749482401,0.5708605370484602,0.46860223483651586,332,0.0783132530120482,0.04078928433403282,0.15963855421686746,0.06686637215052349,0.2710843373493976,0.09429736794545146,0.06388619954887291,0.10491036326466426,5337,
hours_weighted_mean,full_catalog,9992,0.01200960768614892,0.007805766970338339,0.0222177742193755,0.01102678631062608,0.04093274619695757,0.01573333801348802,0.012423598738651169,9660,0.012422360248447204,0.008074039706793032,0.02298136645962733,0.01140576074697472,0.042339544513457554,0.016274069713330463,0.012832756626975238,332,0.0,0.0,0.0,0.0,0.0,0.0,0.0005185830723545001,0.05301541122818053,2697,368.22763210568456
history_mlp_bpr,full_catalog,9992,0.008807045636509208,0.004944891587544528,0.016513210568454763,0.007414570497267698,0.03843074459567654,0.012844760033000486,0.009720543617411809,9660,0.009109730848861283,0.005114840242520178,0.017080745341614908,0.0076693983859936685,0.03975155279503106,0.013286215553803401,0.010048648863069868,332,0.0,0.0,0.0,0.0,0.0,0.0,0.0001738668913369388,0.0015332599465324736,78,604.1779523618895
