delta_gap,linear_separability,uniformity_a,uniformity_b,alignment,top5_retrieval_acc,axis,condition,n_genes_requested,n_genes_actual,seed,elapsed_sec
0.5884279964217982,0.9738824049720209,-1.642458527273014,-1.8932338410240925,1.1821541976525483,0.024095718163186175,quantity,n_genes=50,50,50,0,24.4
0.5849250818845528,0.9674015689569074,-1.6707356676860323,-1.8848808416711593,1.195240553958748,0.024981997451947045,quantity,n_genes=50,50,50,1,23.3
0.5891753446668123,0.9540797286108692,-1.6541416445091917,-1.8838539710067317,1.1900846789822337,0.024372680440923947,quantity,n_genes=50,50,50,2,24.2
0.3302663008011266,0.9058882767962959,-2.5478768413591797,-2.578221754313481,0.980738200715759,0.05683265939179084,quantity,n_genes=134,134,134,0,26.3
0.3320037127448862,0.9135877959263021,-2.538040082455144,-2.560823902439924,0.9732057935651096,0.05710962166952861,quantity,n_genes=134,134,134,1,24.5
0.331757571743026,0.9241400364969843,-2.5418011422033158,-2.5598575844475855,0.9679029285763742,0.05888218024705035,quantity,n_genes=134,134,134,2,26.5
0.1338421233500665,0.8223008862386395,-3.108329103090848,-3.143243408336886,0.7378344770559763,0.14091840691297844,quantity,n_genes=500,500,500,0,30.0
0.1387248307095832,0.8504125920310507,-3.1087393778170553,-3.124911347718777,0.734615763970153,0.14590372791225836,quantity,n_genes=500,500,500,1,27.7
0.1364664386517864,0.842020578997586,-3.105943193121552,-3.142560296159473,0.7313164524055469,0.14091840691297844,quantity,n_genes=500,500,500,2,28.7
0.08018763867207208,0.7694566230812917,-3.343552165027347,-3.386812988937508,0.706696410894235,0.1821857862959065,quantity,n_genes=2000,2000,2000,0,36.9
0.08499585517915383,0.7777100590982998,-3.3389997668810345,-3.389593048070285,0.7146907259103862,0.1866725751952584,quantity,n_genes=2000,2000,2000,1,38.0
0.08624987566628052,0.8013072889539423,-3.3439342272910015,-3.387068954795356,0.7088484715378762,0.1841245222400709,quantity,n_genes=2000,2000,2000,2,37.7
0.07360394619026846,0.7243117908469601,-3.6740672195538857,-3.692663915972173,0.9743741448690301,0.12014623608264555,quantity,n_genes=13953,all,13953,0,197.9
0.0832183146666559,0.712402462723822,-3.6794178924375522,-3.709891164196412,1.003090868637618,0.11892760206059935,quantity,n_genes=13953,all,13953,1,197.8
0.07056593367103381,0.7097989682159918,-3.693349942113554,-3.710288172518693,1.002699391604763,0.1177643604941007,quantity,n_genes=13953,all,13953,2,200.0
0.3302663008011266,0.9058882767962959,-2.5478768413591797,-2.578221754313481,0.980738200715759,0.05683265939179084,quality,random_134hvg,,134,0,25.4
0.3320037127448862,0.9135877959263021,-2.538040082455144,-2.560823902439924,0.9732057935651096,0.05710962166952861,quality,random_134hvg,,134,1,23.6
0.331757571743026,0.9241400364969843,-2.5418011422033158,-2.5598575844475855,0.9679029285763742,0.05888218024705035,quality,random_134hvg,,134,2,23.8
0.3645939145809406,0.9556306030853807,-2.4194430640660487,-2.4516726783264957,1.1302517816655233,0.03234919403977178,quality,adt_matched,,36,0,21.9
0.36125601474551594,0.9549936604102216,-2.43605279260437,-2.47283484153644,1.142308794604703,0.031739877028748684,quality,adt_matched,,36,1,22.5
0.3643198075831505,0.9572924036025116,-2.4248220674619376,-2.455880189130241,1.130442595659402,0.03268154877305711,quality,adt_matched,,36,2,23.9
0.7559278363151253,0.998449014307979,-1.5361822790571371,-1.703058050732874,1.3990196907751566,0.008807400432061152,quality,stat_matched_random,,36,0,20.2
0.7399800471375267,0.997839695761052,-1.5910457509441585,-1.753567258861469,1.4189611728336684,0.008696615520966044,quality,stat_matched_random,,36,1,20.5
0.7588411930370059,0.999030639695117,-1.5381897699680493,-1.7066452777247747,1.4033794380272944,0.007921121143300283,quality,stat_matched_random,,36,2,20.6
0.9830700880889166,0.9991414161693614,-0.16327153757896934,-1.1275950765855873,2.006692587116961,0.00027696227773777213,quality,adt_matched_pair_shuffled,,36,0,20.4
0.9819513330276476,0.9991137115043124,-0.17841809698653086,-1.022154764750337,2.0065813222665945,0.0004431396443804354,quality,adt_matched_pair_shuffled,,36,1,20.5
0.9841951547752181,0.9991968024889404,-0.15863818690191456,-1.034476384274023,2.0051757528933947,0.00027696227773777213,quality,adt_matched_pair_shuffled,,36,2,20.0
