model,seeds,alpha_mf_mean,recall@10_mean,recall@10_std,ndcg@10_mean,ndcg@10_std,mrr_mean,mrr_std,long_tail_recall@10_mean,long_tail_recall@10_std,catalog_coverage@10_mean,catalog_coverage@10_std
multimodal_only,3,0.0,0.8039196047008547,0.001303366806620171,0.518464647003627,0.0007650921373832027,0.4380507765629747,0.0007823655845982339,0.2744186046511628,0.0031007751937984496,0.15879724275305337,0.0006724747395527595
mf_multimodal_balanced,3,0.4000000000000001,0.816539797008547,0.001359869915492569,0.5608718623463371,0.0006459191835481411,0.4898283186779004,0.001174102070644868,0.0341085271317829,0.0041019400171544325,0.1133498453635267,0.00015268622159841854
mf_multimodal_accuracy,3,0.5,0.8160723824786326,0.0011949472601611394,0.5586923163347968,0.0006802033005186122,0.4872290570044195,0.0012461778319318225,0.011369509043927565,0.0008951166964180095,0.10749855847355445,0.00046903418168926927
mf_only,3,1.0,0.7960069444444443,0.0006668998516105492,0.5372410352537084,0.0013581964485338694,0.4656012870233815,0.00162906540962285,0.0,0.0,0.09738166378361374,0.000255543324422037
mf_text_balanced_hybrid,3,,0.7906316773504273,0.0085637507339789,0.5404029603640265,0.003190764970572,0.4713170245590385,0.0033631982088237,0.027906976744186,0.0197940237748895,0.1020338627666823,0.0024819734457243
