app_id,row
13500,0
22364,1
113020,2
226560,3
249050,4
250180,5
253980,6
271850,7
282900,8
19810,9
15270,10
21130,11
22130,12
29180,13
32750,14
241620,15
408520,16
244910,17
245950,18
250460,19
278890,20
305181,21
312200,22
321290,23
329640,24
367670,25
380810,26
392330,27
437000,28
445420,29
458790,30
462280,31
1872790,32
371970,33
222660,34
237850,35
268220,36
274270,37
281450,38
1259750,39
296870,40
330180,41
351920,42
397210,43
402130,44
402710,45
410970,46
415200,47
410770,48
254820,49
284180,50
286380,51
288220,52
302690,53
320388,54
339350,55
342310,56
346500,57
393831,58
414870,59
419990,60
434041,61
446600,62
451640,63
479010,64
494150,65
1198740,66
35000,67
37400,68
39690,69
65400,70
208805,71
222420,72
274480,73
314000,74
326410,75
355920,76
406600,77
940980,78
433550,79
436550,80
438450,81
439500,82
910320,83
284750,84
298930,85
302350,86
308270,87
317030,88
325990,89
376980,90
382400,91
388290,92
402260,93
429300,94
435300,95
450500,96
466546,97
558240,98
563190,99
574310,100
929103,101
939060,102
520720,103
527420,104
529590,105
545600,106
555530,107
555580,108
610070,109
657280,110
727980,111
739210,112
765410,113
765770,114
769750,115
829960,116
864610,117
884420,118
412790,119
367120,120
395620,121
401628,122
457570,123
467760,124
480520,125
522120,126
358141,127
542770,128
581270,129
583270,130
589530,131
620220,132
622680,133
640900,134
654220,135
684450,136
686710,137
696370,138
416420,139
460120,140
460430,141
491492,142
498310,143
537770,144
550400,145
568040,146
584096,147
588730,148
292050,149
623280,150
673130,151
699180,152
711681,153
732400,154
755790,155
758580,156
758980,157
316447,158
319017,159
528050,160
566530,161
567340,162
570770,163
573320,164
580640,165
599610,166
603330,167
605990,168
358370,169
665270,170
672630,171
716710,172
727910,173
728300,174
734740,175
746820,176
779280,177
815450,178
448240,179
453400,180
453990,181
463720,182
465720,183
470210,184
493080,185
497780,186
525480,187
530595,188
544390,189
554820,190
359496,191
6880,192
566540,193
582500,194
708760,195
720750,196
756440,197
758480,198
826540,199
575940,200
589860,201
604240,202
605920,203
613230,204
617160,205
645500,206
684050,207
704300,208
736580,209
744680,210
749840,211
786990,212
801980,213
2277010,214
803600,215
824720,216
834760,217
850450,218
1600150,219
1568680,220
55100,221
208292,222
221910,223
222573,224
260690,225
267780,226
287900,227
292800,228
296470,229
343370,230
350640,231
353850,232
358190,233
358220,234
929480,235
319810,236
360650,237
365380,238
215100,239
6040,240
3920,241
15920,242
25010,243
31900,244
31220,245
206690,246
213350,247
65270,248
224960,249
65600,250
33180,251
246300,252
914890,253
920567,254
971690,255
984470,256
998790,257
1016770,258
1046230,259
1054340,260
1072480,261
1087760,262
1096410,263
1101930,264
1109050,265
1796170,266
793450,267
815150,268
843430,269
846800,270
961490,271
382210,272
848500,273
853480,274
891170,275
917150,276
917190,277
929100,278
931000,279
976920,280
987270,281
992050,282
1011900,283
1086481,284
1536700,285
215004,286
919640,287
774791,288
783120,289
818960,290
820540,291
837861,292
896640,293
933610,294
933940,295
946780,296
958320,297
959410,298
962630,299
971070,300
976900,301
1015480,302
1032430,303
1036760,304
1038280,305
939790,306
856210,307
868420,308
885440,309
888850,310
895600,311
938220,312
938490,313
964230,314
994910,315
996450,316
1054700,317
1054990,318
1761570,319
1081870,320
1124080,321
1151930,322
958210,323
829280,324
847290,325
848930,326
853380,327
861090,328
861880,329
905450,330
916060,331
949290,332
992172,333
1012560,334
1013910,335
1045010,336
1048580,337
1053250,338
1066430,339
1071130,340
1087451,341
1092630,342
1099170,343
1112340,344
1112790,345
1189680,346
1203510,347
1232520,348
1233260,349
1241275,350
1250250,351
1273690,352
1285020,353
1287530,354
1310990,355
1325800,356
1326000,357
1415140,358
1418844,359
1235763,360
1482860,361
1490340,362
1492070,363
1501150,364
1523720,365
1562700,366
1640760,367
1677180,368
1700220,369
1742840,370
1797280,371
1885690,372
1906530,373
1962430,374
2147630,375
1910790,376
1911560,377
1940752,378
1115580,379
1128880,380
1149710,381
1179450,382
1185600,383
1202310,384
1203040,385
1286280,386
1298050,387
1305310,388
1333410,389
1343920,390
1364034,391
1365020,392
1370050,393
1423090,394
1464980,395
1482081,396
1198960,397
73095,398
1061610,399
1064460,400
1066290,401
324250,402
1076160,403
1081510,404
1090183,405
1115050,406
1122700,407
1126310,408
1139110,409
1141360,410
1180491,411
1191580,412
1201270,413
1266430,414
918110,415
818610,416
870690,417
887900,418
904370,419
947300,420
975280,421
943380,422
979400,423
987480,424
1007520,425
1027120,426
1062830,427
1093330,428
1093800,429
1102380,430
368180,431
384360,432
399780,433
400940,434
403410,435
421040,436
428690,437
439750,438
1291790,439
440650,440
456180,441
461950,442
462680,443
485490,444
492530,445
499520,446
539670,447
1102130,448
1152320,449
1152420,450
1174720,451
1175460,452
1181840,453
1215110,454
1222400,455
1272930,456
1287030,457
924150,458
1296980,459
1384940,460
1472192,461
1477920,462
1481490,463
1503530,464
1512390,465
578320,466
596000,467
618970,468
676630,469
687540,470
701870,471
723790,472
760650,473
761821,474
837860,475
873880,476
881680,477
888701,478
894270,479
552520,480
981020,481
1238520,482
1483100,483
1491780,484
1524400,485
1532460,486
1543380,487
1564090,488
1567200,489
1572040,490
1594400,491
1617270,492
1662480,493
1739300,494
1743380,495
1763920,496
1764820,497
237050,498
1171370,499
1174580,500
1202870,501
