app_id,title_clean,token_len_minilm,text_for_embedding
1889520,Истории ужасов: Воскрешение,269,"Истории ужасов: Воскрешение Early Access Action Horror Idler Hidden Object First-Person Psychological Horror Hack and Slash Thriller Zombies Singleplayer Adventure Puzzle Action RPG Mystery Dungeon Action-Adventure Exploration Detective Nature Atmospheric Хоррор от первого лица, рассказывающий историю отчаявшегося мужчины потерявшего свою жену при загадочных мистических обстоятельствах. Потратив долгие месяцы чтобы связаться с женой в потустороннем мире он отправляется на поиски книги мертвых."
2242590,史小坑的花前月下,319,史小坑的花前月下 Casual Adventure Simulation Farming Sim Action-Adventure City Builder 2D Platformer Exploration 2D Anime Cartoon Retro Building Crafting Story Rich Massively Multiplayer Base Building Character Customization Action Free to Play 《史小坑的花前月下》是一款大地图自由探索的模拟经营游戏。 我们作为寻宝者，不幸流落荒岛，从零开始，收集资源建造属于自己的岛屿。 在冒险中，我们会遇到各种不同的岛屿，树木茂盛的绿龟岛、炎热的太阳岛、水下珊瑚岛植梦岛等……强大的昆虫敌人也会阻挡我们前进的脚步，黄蜂女皇、熔岩蛾王、水蚊双子，使用不同元素箭解决它们，同时需要我们孵化宠物，收集羁绊增强自己的实力， 闲暇之余可以岛植梦岛与《史小坑的花前月下》全服参与篝火晚会。 更多精彩内容，尽在史小坑的花前月下。 客服联系方式：关注微信公众号“黑兔游戏”选择 人工客服 礼包领取公众号：热门新游，回复：史小坑的花前月下
1686870,中华富甲三国,329,中华富甲三国 Casual Strategy City Builder Board Game Turn-Based Tactics 2.5D Funny 4 Player Local Singleplayer 这是一款大富翁与三国结合的益智类游戏，胜者为王。玩家扮演某个君主与其他1至3位君主进行运气与智商上的较量，通过点击不同等级的转盘或者使用特定锦囊决定行动步数，走到城池、建筑、商铺、特殊地点等触发对应事件，最终达成地图目标或者击败所有君主者获胜。这里有策略上的尔虞我诈，有商战中的弱肉强食，有运气上的天命所在，有城池经营，有武将养成，有投奔背离；战场上，有猛将间的热血单挑，有名帅中的纵横驰骋，有谋士间的神鬼技能，有不同地形的武将能力，有攻城时的天气系统。游戏系统可以很复杂烧脑谋夺天下，也可以通过各种开关设定简化内容运气为王，还可以给电脑加强能力长久为战，不同的设定甚至可以使玩法大相径庭，趣味丛生。
2173550,冒险与魔法,257,冒险与魔法 Adventure RPG Strategy Word Game 2D Action-Adventure Strategy RPG 2D Platformer Roguevania Top-Down Minimalist Medieval Retro Text-Based Singleplayer 游戏介绍： 冒险与魔法是一款文字冒险策略游戏，玩法丰富有趣，在游戏里你可以体验几十种不同的职业人生经历，并且可以通过招募壮大自己的冒险团，装备好自己的队伍，备好粮草箭矢，药剂还有魔法卷轴之后，到世界各地冒险，打猎或者与各种魔兽怪物战斗，获得战利品和经验，并且回到主城向国王领取赏赐，得到声望和地位提升，用赚来的金币继续壮大队伍填充补给，屯一些高级魔法卷轴以备不时之需，之后向更广阔而神秘的地方进发。这个世界还有很多秘密也许在未来可以和你见面。
1693990,虫鸣,266,虫鸣 Horror Mystery Thriller Exploration Satire Adventure Realistic RPG Singleplayer Third Person Casual 1990's Text-Based Story Rich Word Game Puzzle Platformer CRPG Psychedelic Psychological Horror Puzzle 崇明接到了上级的安排，去往雾谷村进行旅游景点调查采访，听闻村子内存在着“养蛊辟邪祟”的习俗，每户人家或多或少都懂得一些蛊术， 但这些蛊术从何而来的却无从得知... 夜晚的大山深处，处处响起虫鸣... 起雾了 --------------------------------- 感谢同学们的支持，目前评论中反映到的bug我们正在积极修复，抱歉给大伙儿带来不好的游戏体验，近期我们也会添加键盘操作，以及对其它方面的优化更新，开发不易555555，希望不要因为这一问题带来差评，谢谢！
1492860,三国志奇侠传,262,"三国志奇侠传 Adventure Simulation RPG Action-Adventure Action RPG Turn-Based Strategy Open World Exploration 2D Platformer Dungeon Crawler Free to Play 3D Vision 1990's Story Rich Historical Turn-Based Combat Singleplayer 《三国志奇侠传》是一款收集养成类的开放式角色扮演游戏,玩家扮演一个身世坎坷的小道士在乱世中寻找失散的妹妹。 在此过程中小道士不断探索世界,经历种种或熟悉或陌生的事件，看到了很多潜藏在历史脉络之下的隐情，他试图通过自己的不同选择推动着历史车轮向不同的方向滚动。 然而经历了红尘中的喜怒哀乐，悲欢离合，会尽了天下英雄，却还是无法憾动天道，迷雾之中仿佛有一只大手在操控着一切，小道士心中惘然。 迷失了自己心中的“道”，成道成魔便在你一念之间！"
1211990,The Clockworker,321,"The Clockworker Adventure Indie Puzzle Strategy RPG Puzzle Platformer 2D Pixel Graphics Horror Tactical RPG Steampunk Action RPG Choices Matter Multiple Endings Story Rich Singleplayer 시계수리공(The Clockworker)은 스팀펑크풍의 쯔꾸르 호러 어드벤쳐 게임입니다. 거대한 시계 속에서 수리공 소녀를 조종해, 멈춰버린 톱니바퀴와 기계 장치 사이에서 퍼즐을 풀고, 아이템을 사용해 전진하세요. 언제 어디서 튀어나올 지 모르는 함정이 주인공을 기다리고 있습니다. 저마다의 비밀을 품고 있는 캐릭터와 대화해 호감도를 쌓고, 세계에 숨겨진 비밀을 파헤쳐 보세요!"
1910130,Qwilight,327,"Qwilight Rhythm PvP Tutorial Casual 2D Controller Conversation Action Score Attack Asynchronous Multiplayer Multiplayer Singleplayer Music Indie Qwilight은 현존하는 리듬 게임 중 가장 많은 기능을 가진 BMS, BMSON 기반 온라인 무료 리듬 게임입니다. 다양한 게임 모드, 다양한 하드웨어, 풍부한 온라인 기능, BMS는 입문하기 어렵다는 고정 관념을 깨는 뛰어난 접근성 등을 자랑합니다. 또한, 오픈 소스로 제공되며 게임 내 도전 과제와 프로필의 호칭은 공식 디스코드에서 제안하면 추가되는 커뮤니티 기반 콘텐츠도 제공됩니다."
2234030,向往的方向,289,向往的方向 2D Platformer Puzzle Platformer Adventure Puzzle Platformer 2D Hand-drawn Drama Psychological Free to Play Indie Singleplayer 《向往的生活》是我的毕业设计，也是我第一次上传游戏到steam，我希望能有更多的人能到玩到，并不是想通过它传递什么思想，或许只是想传递一些感受吧，当然，可能你玩完也不有共情的，那么只求我给你带来的这段经历不太差，如果你愿意花时间给我评论的话，无论好与坏我都接受，在下一次希望能更好传递一些感受，如果你有感受到一些感受，谢谢你，说明我做到我想要做的，这是一个关于得不到的故事，希望大家能玩一下，走这段经历，看一下大家的感受。 《向往的生活》是一款横板跳跃加横板解密的游戏，其中在故事方面参考了电影的叙事方式，并玩法与故事相辅相成。
1923800,ANETHA,272,"ANETHA Adventure Puzzle Point & Click 2D Platformer Puzzle Platformer 2D Pixel Graphics Emotional Horror Drama Mystery Crime Atmospheric Psychological Dark Philosophical Choices Matter Conversation Story Rich Singleplayer 아네사는 호러 어드벤처 게임입니다. 당신은 실종된 딸을 구하기 위해 해킹범이 전송하는 파일의 암호를 풀어야 합니다. 그러나 그 파일들은 모두 실종된 딸의 숨겨진 비밀을 품고 있습니다. 파일을 풀고, 딸의 비밀에 접근해 나가세요. 당신은 ""왜"" 이런 비극이 일어난 건지 알고 싶다면 말이죠."
1218950,战神七魄,339,战神七魄 Free to Play RPG Massively Multiplayer Action Casual Adventure Indie 《战神七魄》是一款大型多人APRG游戏，游戏中拥有养成、冒险、打斗、社交、互动等各种丰富多样的功能。玩家可以通过点击空白处的方式控制自己的角色，在3D静态地图配合2D动态模型的即时光影成像技术下与怪物战斗，和兄弟结盟，挥洒热血，激战沙场。玩家能遇到磨难与考验，锻炼出不屈的意志。会面临诱惑和选择，寻找到真实的自我。可以锄强扶弱，劫富济贫，一展大侠风范；也可以呼朋唤友，自成一派，彰显领袖本色。侠之大者，为国为民，力量越大，责任越大，拿起手中的刀剑，书写属于你自己的传奇。在服务器架构上支持多服务器动态支撑技术，能容纳数万玩家在游戏内娱乐。游戏美术设计上汲取了东西方的美术元素，使用玄幻而写实的美术风格，人物造型华丽而独特，富有真实立体效果和绚丽的光影。
